city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Lincoln,AR,3846864,-34.87,-61.53,68.8,96,88,3.49,1524276966
Constitucion,CL,3893726,-35.33,-72.42,54.58,95,0,8.52,1524276966
Nelson Bay,AU,2155562,-32.72,152.14,71.6,64,40,14.99,1524276000
Geraldton,AU,2070998,-28.77,114.6,71.6,49,80,3.36,1524274200
Port Macquarie,AU,2152659,-31.43,152.91,68.0,88,90,5.82,1524276000
Chimbarongo,CL,3895061,-34.71,-71.04,55.4,87,0,0.87,1524272400
Collie,AU,2074113,-33.36,116.15,62.32,96,100,10.6,1524276968
Russell,NZ,2188874,-35.26,174.12,63.94,78,76,12.62,1524276971
Sao Joao da Barra,BR,3448903,-21.64,-41.05,77.35,99,0,11.32,1524276730
Ambovombe,MG,1079048,-25.18,46.09,67.0,100,32,3.6,1524276972
Richards Bay,ZA,962367,-28.77,32.06,63.67,98,24,4.12,1524276972
Luderitz,NA,3355672,-26.65,15.16,56.11,90,0,6.91,1524276972
Broken Hill,AU,2173911,-31.97,141.45,79.87,38,20,7.25,1524276972
Talcahuano,CL,3870282,-36.72,-73.12,55.4,100,40,1.12,1524274680
Raymond Terrace,AU,2205631,-32.76,151.75,71.6,64,40,14.99,1524276000
Oranjemund,NA,3354071,-28.55,16.43,59.8,100,0,6.29,1524276973
Beloha,MG,1067565,-25.17,45.06,65.38,88,48,2.37,1524276973
Rosario,AR,3838583,-32.96,-60.66,68.0,94,92,4.79,1524272400
Noumea,NC,2139521,-22.28,166.46,84.2,58,75,13.87,1524276000
Dubbo,AU,2168305,-32.25,148.6,78.8,41,0,8.05,1524276000
Kaeo,NZ,2189343,-35.1,173.78,63.94,78,76,12.62,1524276974
Cangucu,BR,3467512,-31.39,-52.68,66.91,97,92,7.36,1524276974
Port Shepstone,ZA,964406,-30.74,30.45,68.62,99,68,10.6,1524276974
Pinheiro Machado,BR,3453741,-31.58,-53.38,66.55,97,88,8.08,1524277035
Calvinia,ZA,3369174,-31.47,19.78,40.54,73,0,2.71,1524277035
De Aar,ZA,1011632,-30.65,24.01,35.32,71,0,2.77,1524277035
Sao Lourenco do Sul,BR,3448596,-31.37,-51.98,68.08,98,88,6.91,1524277035
Ballina,AU,2177069,-28.87,153.57,68.98,100,92,6.29,1524277035
Ovalle,CL,3877918,-30.6,-71.2,55.84,95,0,2.89,1524277036
Saint-Joseph,RE,6690296,-21.37,55.62,78.8,78,90,5.82,1524274200
Northam,AU,2064550,-31.65,116.67,75.2,41,32,9.17,1524276000
San Francisco,AR,3837675,-31.43,-62.08,71.95,97,36,5.91,1524277036
Salto,UY,3440714,-31.39,-57.96,68.53,94,12,2.71,1524277036
Cordoba,AR,3846616,-27.78,-67.24,49.09,88,24,1.7,1524277037
Port Augusta,AU,2063056,-32.49,137.76,82.4,39,12,8.05,1524276000
Armidale,AU,2177671,-30.51,151.67,62.32,83,44,7.85,1524277037
Inhambane,MZ,1045114,-23.87,35.38,71.05,100,48,7.52,1524277037
Coquimbo,CL,3893629,-29.95,-71.34,57.2,87,90,5.91,1524272400
