city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Touros,BR,3386213,-5.2,-35.46,78.41,96,92,9.4,1524317074
Basoko,CD,219414,1.23,23.61,84.71,72,48,7.16,1524317075
Ixtapa,MX,4004293,20.71,-105.21,68.0,100,75,2.24,1524315000
Kapit,MY,1737185,2.02,112.94,75.8,90,80,1.5,1524317075
Aconibe,GQ,2310547,1.29,10.94,82.82,75,32,3.24,1524317075
Sembe,CG,2255304,1.65,14.58,88.22,58,20,3.02,1524317075
Makokou,GA,2399371,0.56,12.85,83.09,73,64,3.06,1524317076
Hobyo,SO,57000,5.35,48.53,84.17,100,8,5.93,1524317076
Sao Gabriel da Cachoeira,BR,3662342,-0.13,-67.09,71.93,96,68,2.51,1524317076
Gorontalo,ID,1643837,0.54,123.06,76.88,92,24,2.06,1524317076
Butaritari,KI,2110227,3.07,172.79,83.81,99,100,13.47,1524317077
Kudahuvadhoo,MV,1337607,2.67,72.89,83.0,100,92,8.1,1524317077
Kuching,MY,1735634,1.56,110.34,80.6,88,75,2.24,1524315600
Luba,GQ,2309528,3.46,8.55,87.8,66,40,8.05,1524315600
Carutapera,BR,3402648,-1.2,-46.02,84.08,86,32,7.27,1524317078
Wamba,CD,204318,2.14,27.99,86.15,59,0,2.73,1524317078
Ebebiyin,GQ,2309332,2.15,11.34,86.0,58,75,2.91,1524312000
Ternate,ID,1624041,0.8,127.4,84.17,100,36,4.59,1524317078
Banda Aceh,ID,1215502,5.56,95.32,76.07,100,80,2.62,1524317078
Salinopolis,BR,3389822,-0.61,-47.36,82.91,98,8,11.68,1524317079
Manokwari,ID,1636308,-0.87,134.08,82.1,100,64,5.93,1524317079
Watsa,CD,204283,3.04,29.53,90.38,49,32,4.25,1524317079
Impfondo,CG,2259655,1.64,18.07,85.88,73,8,3.13,1524317079
Amapa,BR,3401225,-1.83,-56.23,77.69,93,64,1.12,1524317079
Sibu,MY,1735902,2.29,111.83,78.8,94,75,1.79,1524315600
Tutoia,BR,3385899,-2.76,-42.27,87.8,66,20,13.87,1524312000
Kavieng,PG,2094342,-2.57,150.8,83.9,100,68,7.31,1524317080
Grand-Santi,GF,3381538,4.27,-54.38,74.27,99,92,2.73,1524317080
Buta,CD,217570,2.79,24.73,86.06,69,68,3.62,1524317080
Kabanjahe,ID,1214965,3.1,98.49,69.14,100,56,1.72,1524317141
Mattru,SL,2409215,7.62,-11.83,90.2,64,0,4.74,1524317141
Gemena,CD,2315728,3.25,19.78,83.09,75,44,3.36,1524317142
Bumba,CD,217745,2.18,22.47,86.15,65,48,9.66,1524317142
Argelia,CO,3689613,4.73,-76.12,69.8,77,40,2.24,1524315600
Brokopondo,SR,3384482,5.06,-54.98,73.64,100,92,4.25,1524317142
